All My Ways Are Known To You,Psalm 13
Death Was Arrested,
What Blessed Assurance,
Christ is Mine Forevermore,
,
2019-01-20,Lord$$$ have mercy
Rescuer,Psalm 51
To God Be The Glory,
Have Mercy On Me,2 songs after sermon
Nailed To The Cross,
,
2019-01-27,A Besieged Plea
Victory,Psalm 17
Great Is thy Faithfulness,
Ever Be,
Even so come,
,
2019-02-03,Vision & Mission - Making Disciples
The Chorus of the Saved,Matthew 28:16-20
The Way,Communion
Mercy,
Facing a task unfinished,
,
2019-02-10,Connect
Saved my Soul,Luke 5:27-32
No Other Name,
O Come to the Altar,
Amazing Grace,
,
2019-02-17,Grow
All my ways are known to you,Colossians 1:1-14
The Lord is my salvation,
Shine into our night,
O Great God,
,
2019-02-24,Serve
Only a Holy God,1 Corinthians 12:1-31
Joy of the Lord,
Speak O Lord,
Build your kingdom here,
,
2019-03-03,The Promised King
Be Thou My Vision,Matthew 1:1-25
The Saving One,Communion
What a Beautiful Name,
Man of Sorrows,
,
2019-03-10,The King who Divides
The Love of the Father,Matthew 2:1-23
Build Your Kingdom Here,
Before the Throne of God above,
Crown Him,
,
2019-03-17,Preparing for the King
Home,Matthew 3:1-17
From the Day,
I cannot tell,
Come as you are,
,
2019-03-24,Induction Service - Guard the Gospel
Saved my Soul,2 Timothy 1:13-2:7
Death was Arrested,
King of love,
My hope is built,
,
2019-03-31,The King under Temptation
Rescuer,Matthew 4:1-11
To God Be the Glory,
What Blessed Assurance,
Forgiven,
,
2019-04-07,The King of the Light
Holy$$$ Holy$$$ Holy!,Matthew 4:12-17
Nailed to the Cross,Communion
Shine Into Our Night,
Boldly I Approach,
,
2019-04-14,The King to Follow
The Way,Matthew 4:18-25
Death Was Arrested,
Christ Is Mine Forevermore,
Crowns,
,
2019-04-19,Good Friday
Man of Sorrows,
Nailed to the Cross,4 songs
When I Survey the Wondrous Cross,
The Power of the Cross,
,
2019-04-21,Easter Sunday
Victory,
O Praise the Name,
Death was arrested,
Jesus Paid It All,
,
2018-04-28,Unstoppable despite disobedience
Joy of the Lord,Haggai 1:1-15
Only A Holy God,
The Lord is My Salvation,
O Great God,
,
2019-05-05,Unstoppable despite inability
Rescuer,Haggai 2:1-9
Build your kingdom here,Communion
O Come to the Altar,
,
,
2019-05-12,Unstoppable despite uncleanness
Only a holy God,Haggai 2:10-19
All my ways are known to you,
Have mercy on me,
Before the throne of God Above,
,
2018-05-19,Unstoppable despite failed leadership
The Chorus of the Saved,Haggai 2:20-23
Saved my soul,
What a beautiful name,
Crown him with many crowns,
,
2019-05-26,Riches of Grace
Counting every blessing,Ephesians 1:1-14
From the Day,
Washed by the blood,
And Can It Be,
,
2019-06-02,Grace-driven prayer
Joy of the Lord,Ephesians 1:15-23
Christ is Risen,
Only a holy God,
It is Well with my Soul,
,
2019-06-09,Saved by Grace
This is Amazing Grace,Ephesians 2:1-10
Crown Him,
Be thou my vision,
Come as you are,
,
2019-06-16,United by Grace
The Chorus of the Saved,Ephesians 2:11-22
Rescuer,
King of love,
Grace Alone,
,
2019-06-23,The mystery of grace
Home,Ephesians 3:1-13
God is For Us,
Nailed to the Cross,
How Deep the Father's Love,
,
2019-06-30,Praying to the Gracious God
God is For Us,Ephesians 3:14-21
This is Amazing Grace,Communion
Christ is Mine Forevermore,
Forgiven,
,
2019-07-07,
Victory,
Only A Holy God,
Yet Not I But Through Christ In Me,
My Hope Is Built,
,
2019-07-14,1 Samuel 17
Counting Every Blessing,David & Goliath
Great Is thy Faithfulness,
Yet Not I But Through Christ In Me,
God Is For Us,
,
2019-07-21,Why do you allow so much suffering in the world?
Joy of the Lord,
All My Ways Are Known To You,
What A Beautiful Name,
It Is Well With My Soul,
,
2019-07-28,Why can't I be free to live how I want to?
Home,
To God Be The Glory,
Clean,
Shine Into Our Night,
,
2019-08-04,How can you be loving & send people to Hell?
God is for us,Communion
My Hope is Built,
Even so Come,
Clean,
,
2019-08-11,Can I trust the Bible?
This is Amazing Grace,
Death was arrested,
Blessed Assurance,
Only a Holy God,
,
2019-08-18,Ephesians 4:1-16
All My Ways are Known to You,The Healthy Body
What Blessed Assurance,
King of Love,
Yet not I but through Christ in Me,
,
2019-08-25,Ephesians 4:17-32
God is For Us,The New You
Joy of the Lord,
Speak O Lord,
Nailed to the Cross,
,
2019-09-01,Ephesians 6:1-4
The Love of the Father,Fatherhood
Counting every blessing,
How deep the Father's Love,
The Lord is my salvation,
,
2019-09-08,Ephesians 5:1-20
The Chorus of the saved,Light & Darkness
Build your kingdom here,
O Lord my rock and my redeemer,
Shine into our night,
,
2019-09-15,Ephesians 5:21-33
Victory,Marriage
God is for us,
O Lord my rock and my redeemer,
Yet not I but through Christ in me,
,
2019-09-22,Ephesians 6:5-9
All my ways are known to you,Work
Only a holy God,
Clean,
Be Thou My Vision,
,
2019-09-29,QTC Sunday
From the Day,
What a beautiful name,
O Come to the Altar,
When I Survey the Wondrous Cross,
,
